AUTH_OBJ_GRP,AUTH_GRP_DESC,AUTH_LEVEL,AUTH_OBJ_ID,del_ind
AUTH_GROUP_04,shopper Assist,FEATURE,AUTH_0007,0
AUTH_GROUP_06,admin,FORM,AUTH_0021,0
AUTH_GROUP_04,shopper Assist,FORM,AUTH_0026,0
AUTH_GROUP_03,approvals,FEATURE,AUTH_0007,0
AUTH_GROUP_02,shopping Plus,FORM,AUTH_0026,0
AUTH_GROUP_06,admin,FEATURE,AUTH_0045,0
AUTH_GROUP_03,approvals,FORM,AUTH_0027,0
AUTH_GROUP_06,admin,FORM,AUTH_0020,0
AUTH_GROUP_06,admin,FORM,AUTH_0027,0
AUTH_GROUP_08,RFQ,FORM,AUTH_0052,1
AUTH_GROUP_08,SUB SOM,FORM,AUTH_0051,1
AUTH_GROUP_02,shopping Plus,FORM,AUTH_0016,0
AUTH_GROUP_01,shopping,FEATURE,AUTH_0004,0
AUTH_GROUP_06,admin,FEATURE,AUTH_0012,0
AUTH_GROUP_06,admin,FORM,AUTH_0019,0
AUTH_GROUP_07,content,Management,FORM,AUTH_0042,0
AUTH_GROUP_06,admin,FORM,AUTH_0026,0
AUTH_GROUP_02,shopping Plus,FEATURE,AUTH_0003,0
AUTH_GROUP_02,shopping Plus,FORM,AUTH_0017,0
AUTH_GROUP_03,approvals,FORM,AUTH_0026,0
AUTH_GROUP_06,admin,FORM,AUTH_0047,0
AUTH_GROUP_02,shopping Plus,FORM,AUTH_0027,0
AUTH_GROUP_05,purchaser,FEATURE,AUTH_0007,0
AUTH_GROUP_01,shopping,FORM,AUTH_0018,0
AUTH_GROUP_02,shopping Plus,FORM,AUTH_0015,0
AUTH_GROUP_01,shopping,FORM,AUTH_0017,0
AUTH_GROUP_06,admin,FORM,AUTH_0046,0
AUTH_GROUP_03,approvals,FORM,AUTH_0038,0
AUTH_GROUP_02,shopping Plus,FORM,AUTH_0014,0
AUTH_GROUP_02,shopping Plus,FEATURE,AUTH_0007,0
AUTH_GROUP_02,shopping Plus,FEATURE,AUTH_0004,0
AUTH_GROUP_06,admin,FORM,AUTH_0040,0
AUTH_GROUP_04,shopper Assist,FORM,AUTH_0013,0
AUTH_GROUP_06,admin,FEATURE,AUTH_0005,0
AUTH_GROUP_05,purchaser,FORM,AUTH_0013,0
AUTH_GROUP_01,shopping,FORM,AUTH_0016,0
AUTH_GROUP_04,shopper Assist,FORM,AUTH_0027,0
AUTH_GROUP_01,shopping,FORM,AUTH_0015,0
AUTH_GROUP_02,shopping Plus,FORM,AUTH_0013,0
AUTH_GROUP_07,content Management,FORM,AUTH_0044,0
AUTH_GROUP_06,admin,FEATURE,AUTH_0007,0
AUTH_GROUP_02,shopping Plus,FORM,AUTH_0018,0
AUTH_GROUP_07,content Management,FORM,AUTH_0043,0
AUTH_GROUP_06,admin,FEATURE,AUTH_0010,0
AUTH_GROUP_05,purchaser,FORM,AUTH_0027,0
AUTH_GROUP_01,shopping,FORM,AUTH_0039,0
AUTH_GROUP_06,admin,FORM,AUTH_0013,0
AUTH_GROUP_04,shopper Assist,FEATURE,AUTH_0009,0
AUTH_GROUP_07,content Management,FORM,AUTH_0018,0
AUTH_GROUP_05,purchaser,FORM,AUTH_0026,0
AUTH_GROUP_01,shopping,FORM,AUTH_0026,0
AUTH_GROUP_04,shopper Assist,FORM,AUTH_0023,0
AUTH_GROUP_06,admin,FORM,AUTH_0011,0
AUTH_GROUP_01,shopping,FORM,AUTH_0005,0
AUTH_GROUP_03,approvals,FEATURE,AUTH_0006,0
AUTH_GROUP_03,approvals,FORM,AUTH_0013,0
AUTH_GROUP_01,shopping,FORM,AUTH_0027,0
