FIELD_TYPE_ID,FIELD_TYPE_DESC,USED_FLAG,del_ind,FIELD_NAME
1,Supplier,0,0,split_type
10,Product Type,0,0,split_type
2,Currency,0,0,split_type
3,Ship To address,0,0,split_type
4,Purchasing Group,0,0,split_type
5,Call Off,0,0,split_type
6,Limit Order,0,0,split_type
7,Purchase Requisition,0,0,split_type
8,Incoterm,0,0,split_type
9,Payment Terms,0,0,split_type
ACC_CAT,ACCOUNT ASSIGNMENT CATEGORY,0,0,attribute_id
Activate,activate,0,0,activate
Active,Status Active,0,0,status
All,All,0,0,user_type
AS,Asset,0,0,acct_assignment_category
AS_SET,ASSET,0,0,attribute_id
ATTACHMENT_EXTENSION,ATTACHMENT EXTENSION,0,0,sys_attr_type
ATTACHMENT_SIZE,ATTACHMENT SIZE,0,0,sys_attr_type
AUTH_0001,WORK_OVERVIEW,0,0,auth_obj_id
AUTH_0002,SHOPPING,0,0,auth_obj_id
AUTH_0003,SHOPPING_PLUS,0,0,auth_obj_id
AUTH_0004,GOODS_RECEIPTS,0,0,auth_obj_id
AUTH_0005,SYSTEM_SETTINGS,0,0,auth_obj_id
AUTH_0006,APPROVALS,0,0,auth_obj_id
AUTH_0007,USER_SETTINGS,0,0,auth_obj_id
AUTH_0008,FORM_BUILDER,0,0,auth_obj_id
AUTH_0009,PURCHASING,0,0,auth_obj_id
AUTH_0010,ADMIN_TOOL,0,0,auth_obj_id
AUTH_0011,ORG_MODEL,0,0,auth_obj_id
AUTH_0012,APPL_SETTINGS,0,0,auth_obj_id
AUTH_0013,HOME,0,0,auth_obj_id
AUTH_0014,LIMIT_ORDER,0,0,auth_obj_id
AUTH_0015,FREE_TEXT,0,0,auth_obj_id
AUTH_0016,REQUISITION,0,0,auth_obj_id
AUTH_0017,CATALOG,0,0,auth_obj_id
AUTH_0018,MY_ORDER,0,0,auth_obj_id
AUTH_0019,EMAIL_NOTIF,0,0,auth_obj_id
AUTH_0020,REPORTS,0,0,auth_obj_id
AUTH_0021,USER_ADMIN,0,0,auth_obj_id
AUTH_0022,SUBSTITUTION,0,0,auth_obj_id
AUTH_0023,SC_COMPLETION,0,0,auth_obj_id
AUTH_0024,GROUP_CATEGORY,0,0,auth_obj_id
AUTH_0025,CHANGE_PO,0,0,auth_obj_id
AUTH_0026,PERSONAL_SETTINGS,0,0,auth_obj_id
AUTH_0027,PURCHASE_SETTINGS,0,0,auth_obj_id
AUTH_0028,PASSWORD_POLICY,0,0,auth_obj_id
AUTH_0029,LOGIN_ATTEMPTS,0,0,auth_obj_id
AUTH_0030,SESSION_TIMEOUT,0,0,auth_obj_id
AUTH_0031,DISPLAY TIME,0,0,auth_obj_id
AUTH_0032,ATTACHMENT_SIZE,0,0,auth_obj_id
AUTH_0033,ATTACHMENT_EXT,0,0,auth_obj_id
AUTH_0034,APPROVAL_LIMIT,0,0,auth_obj_id
AUTH_0035,CONFIRMATION,0,0,auth_obj_id
AUTH_0036,CANCELLATION,0,0,auth_obj_id
AUTH_0037,RETURN_DELIVERY,0,0,auth_obj_id
AUTH_0038,WORK_FLOW_ITEMS,0,0,auth_obj_id
AUTH_0039,EMPLOYEE_MANAGEMENT,0,0,auth_obj_id
AUTH_0040,SUPPLIER_MANAGEMENT,0,0,auth_obj_id
AUTH_0041,SOBO,0,0,auth_obj_id
AUTH_101,WORK_SCHEMA,0,0,auth_obj_id
AUTH_GROUP_01,Shopping,0,0,auth_obj_grp
AUTH_GROUP_02,Shopping plus,0,0,auth_obj_grp
AUTH_GROUP_03,Approvals,0,0,auth_obj_grp
AUTH_GROUP_04,Shopper Assist,0,0,auth_obj_grp
AUTH_GROUP_05,Purchaser,0,0,auth_obj_grp
AUTH_GROUP_06,Admin,0,0,auth_obj_grp
AUTH_GROUP_41,Shopping plus,0,0,auth_obj_grp
Buyer,Buyer,0,0,user_type
CALENDAR_ID,Calendar description,0,0,attribute_id
CAT,Category Approver,0,0,approval_type
CAT_ID,CATALOG ID,0,0,attribute_id
CC,Cost Center,0,0,acct_assignment_category
CCODE,Company Code,0,0,org_node_types
CO_CODE,COMPANY CODE,0,0,attribute_id
CT_CTR,COST CENTER,0,0,attribute_id
CUSTOM,CUSTOM,0,0,auth_type
D,demo,0,0,address_type
Deactivate,deactivate,0,0,activate
DEF_DOC_SEARCH,DEFAULT DOCUMENT SEARCH,0,0,attribute_id
DEL_ADDR,DELIVERY ADDRESS,0,0,attribute_id
Demo_Acc,Project,0,0,acct_assignment_category
Demo_role,Test role,0,0,roles
DOC01,SHOPPING CART,0,0,document_type
DOC02,PURCHASE ORDER,0,0,document_type
DOC03,CONFIRMATION,0,0,document_type
DOC04,FAVORITE CART,0,0,document_type
DOC07,test,0,0,document_type
DOC08,demo,0,0,document_type
ERROR,ERROR MESSAGE,0,0,messages_type
EXW,Ex Works,0,1,incoterm
FCA,Free Carrier,0,1,incoterm
FC_TRANS_TYPE,FAVORITE TRANSACTION TYPE,0,0,attribute_id
FEATURE,Feature,0,0,auth_level
FIELD,Field,0,0,auth_level
FIN,Financial Approver,0,0,approval_type
