node_type,node_values,org_model_types,del_ind
"ORG_ATTRIBUTES","PO_TRANS_TYPE","RNODE","0"
ORG_ATTRIBUTES","ACC_CAT","RNODE","0"
"ORG_ATTRIBUTES","DEF_DOC_SEARCH","0"
"ORG_ATTRIBUTES","DEL_ADDR","RNODE","0"
"ORG_ATTRIBUTES","FC_TRANS_TYPE","RNODE","0"
"ORG_ATTRIBUTES","INV_ADDR","RNODE","0"
"ORG_ATTRIBUTES","L_CURR","RNODE","0"
"ORG_ATTRIBUTES","SC_TRANS_TYPE","RNODE","0"
"ORG_ATTRIBUTES","ACC_CAT","CCODE","0"
"ORG_ATTRIBUTES","AS_SET","CCODE","0"
"ORG_ATTRIBUTES","CAT_ID","CCODE","0"
"ORG_ATTRIBUTES","CO_CODE","CCODE","0"
"ORG_ATTRIBUTES","CT_CTR","CCODE","0"
"ORG_ATTRIBUTES","DEF_DOC_SEARCH","CCODE","0"
"ORG_ATTRIBUTES","DEL_ADDR","CCODE","0"
"ORG_ATTRIBUTES","FC_TRANS_TYPE","CCODE","0"
"ORG_ATTRIBUTES","GEN_ACC","CCODE","0"
"ORG_ATTRIBUTES","INT_ORD","CCODE","0"
"ORG_ATTRIBUTES","INV_ADDR","CCODE","0"
"ORG_ATTRIBUTES","L_CURR","CCODE",,"0"
"ORG_ATTRIBUTES","SC_TRANS_TYPE","CCODE","0"
"ORG_ATTRIBUTES","WBS_ELEM","CCODE","0"
"ORG_ATTRIBUTES","GL_ACC","CCODE","0"
"ORG_ATTRIBUTES","CO_CODE","PORG","1"
"ORG_ATTRIBUTES","ACC_CAT","NODE",0"
"ORG_ATTRIBUTES","AS_SET","NODE","0"
"ORG_ATTRIBUTES","USER","USER","0"
"ORG_ATTRIBUTES","ACC_CAT","PLANT","0"
"ORG_ATTRIBUTES","AS_SET","PLANT","0"
"ORG_ATTRIBUTES","CAT_ID","PLANT","0"
"ORG_ATTRIBUTES","CO_CODE","PLANT","0"
"ORG_ATTRIBUTES","CT_CTR","PLANT","0"
"ORG_ATTRIBUTES","DEF_DOC_SEARCH","PLANT","0"
"ORG_ATTRIBUTES","DEL_ADDR","PLANT","0"
"ORG_ATTRIBUTES","FC_TRANS_TYPE","PLANT","0"
"ORG_ATTRIBUTES","GEN_ACC","PLANT","0"
"ORG_ATTRIBUTES","INT_ORD","PLANT","0"
"ORG_ATTRIBUTES","INV_ADDR","PLANT","0"
"ORG_ATTRIBUTES","L_CURR","PLANT","0"
"ORG_ATTRIBUTES","SC_TRANS_TYPE","PLANT","0"
"ORG_ATTRIBUTES","WBS_ELEM","PLANT","0"
"ORG_ATTRIBUTES","GL_ACC","PLANT""0"
"ORG_ATTRIBUTES","PO_TRANS_TYPE","USER","0"
"ORG_ATTRIBUTES","PO_TRANS_TYPE","CCODE","0"
"ORG_ATTRIBUTES","PO_TRANS_TYPE","PLANT","0"
