Currency|Code|Date|USD/1 Unit|Units/1 USD
Andorran Peseta|ADP|2022-10-01|169.795490|0.005889
Utd. Arab Emir. Dirham|AED|2022-10-01|3.673850|0.272194
Afghanistan Afghani|AFA|2022-10-01|89.147710|0.011217
Albanian Lek|ALL|2022-10-01|119.415000|0.008374
Armenian Dram|AMD|2022-10-01|421.200000|0.002374
NL Antillian Guilder|ANG|2022-10-01|1.790000|0.558659
Angolan Kwanza|AOA|2022-10-01|440.138500|0.002272
Angolan Old Kwanza|AON|2022-10-01|440.138500|0.002272
Argentine Peso|ARS|2022-10-01|147.293710|0.006789
Austrian Schilling|ATS|2022-10-01|14.042270|0.071214
Australian Dollar|AUD|2022-10-01|1.563090|0.639758
Aruban Florin|AWG|2022-10-01|1.810000|0.552486
Azerbaijan Old Manat|AZM|2022-10-01|8500.000000|0.000118
Azerbaijan New Manat|AZN|2022-10-01|1.700000|0.588235
Bosnian Mark|BAM|2022-10-01|1.995910|0.501025
Barbados Dollar|BBD|2022-10-01|2.000000|0.500000
Bangladeshi Taka|BDT|2022-10-01|103.165120|0.009693
Belgian Franc|BEF|2022-10-01|41.166520|0.024292
Bulgarian Old Lev|BGL|2022-10-01|1.995910|0.501025
Bulgarian Lev|BGN|2022-10-01|1.995910|0.501025
Bahraini Dinar|BHD|2022-10-01|0.379930|2.632064
Burundi Franc|BIF|2022-10-01|2070.000000|0.000483
Bermudian Dollar|BMD|2022-10-01|1.000000|1.000000
Brunei Dollar|BND|2022-10-01|1.436750|0.696015
Bolivian Boliviano|BOB|2022-10-01|7.115560|0.140537
Brazilian Real|BRL|2022-10-01|5.413150|0.184735
Bahamian Dollar|BSD|2022-10-01|1.000000|1.000000
Bitcoin|BTC|2022-10-01|0.000050|20000.000000
Bhutan Ngultrum|BTN|2022-10-01|81.651150|0.012247
Botswana Pula|BWP|2022-10-01|13.498120|0.074084
Belarusian Ruble|BYR|2022-10-01|25304.909300|0.000040
Belize Dollar|BZD|2022-10-01|2.067230|0.483739
Canadian Dollar|CAD|2022-10-01|1.383110|0.723008
Congolese Franc|CDF|2022-10-01|2081.000000|0.000481
Swiss Franc|CHF|2022-10-01|0.987560|1.012597
Chilean Peso|CLP|2022-10-01|968.510000|0.001033
Chinese Yuan Renminbi|CNY|2022-10-01|7.121550|0.140419
Colombian Peso|COP|2022-10-01|4617.110000|0.000217
Costa Rican Colon|CRC|2022-10-01|644.495860|0.001552
Cuban Convertible Peso|CUC|2022-10-01|1.000000|1.000000
Cuban Peso|CUP|2022-10-01|25.000000|0.040000
Cape Verde Escudo|CVE|2022-10-01|112.524490|0.008887
Cyprus Pound|CYP|2022-10-01|0.597270|1.674285
Czech Koruna|CZK|2022-10-01|25.097650|0.039844
Djibouti Franc|DJF|2022-10-01|177.710000|0.005627
Danish Krone|DKK|2022-10-01|7.587760|0.131791
Dominican Peso|DOP|2022-10-01|53.955000|0.018534
Algerian Dinar|DZD|2022-10-01|141.269500|0.007079
Ecuador Sucre|ECS|2022-10-01|25587.000000|0.000039
Estonian Kroon|EEK|2022-10-01|15.967220|0.062628
Egyptian Pound|EGP|2022-10-01|19.564800|0.051112
Spanish Peseta|ESP|2022-10-01|169.795490|0.005889
Ethiopian Birr|ETB|2022-10-01|52.750000|0.018957
Euro|EUR|2022-10-01|1.020490|0.979921
Finnish Markka|FIM|2022-10-01|6.067570|0.164811
Fiji Dollar|FJD|2022-10-01|2.326000|0.429923
Falkland Islands Pound|FKP|2022-10-01|0.895990|1.116084
French Franc|FRF|2022-10-01|6.693990|0.149388
United Kingdom Pound|GBP|2022-10-01|0.895990|1.116084
Georgian Lari|GEL|2022-10-01|2.860000|0.349650
Ghanaian Cedi|GHC|2022-10-01|105582.500000|0.000009
Ghanaian New Cedi|GHS|2022-10-01|10.558250|0.094713
Gibraltar Pound|GIP|2022-10-01|0.895990|1.116084
Gambian Dalasi|GMD|2022-10-01|55.805000|0.017920
Guinea Franc|GNF|2022-10-01|8932.000000|0.000112
Greek Drachma|GRD|2022-10-01|347.732470|0.002876
Guatemalan Quetzal|GTQ|2022-10-01|8.076880|0.123810
Guyanan Dollar|GYD|2022-10-01|219.519970|0.004555
Hong Kong Dollar|HKD|2022-10-01|7.850140|0.127386
Honduran Lempira|HNL|2022-10-01|25.060000|0.039904
Croatian Kuna|HRK|2022-10-01|7.682150|0.130172
Haitian Gourde|HTG|2022-10-01|121.415490|0.008236
Hungarian Forint|HUF|2022-10-01|432.305000|0.002313
Indonesian Rupiah|IDR|2022-10-01|15311.650000|0.000065
Irish Punt|IEP|2022-10-01|0.803700|1.244245
Israeli New Shekel|ILS|2022-10-01|3.566940|0.280352
Indian Rupee|INR|2022-10-01|81.651150|0.012247
Iraqi Dinar|IQD|2022-10-01|1462.000000|0.000684
Iranian Rial|IRR|2022-10-01|42600.000000|0.000023
Iceland Krona|ISK|2022-10-01|144.430000|0.006924
Italian Lira|ITL|2022-10-01|1975.947020|0.000506
Jamaican Dollar|JMD|2022-10-01|153.860810|0.006499
Jordanian Dinar|JOD|2022-10-01|0.709000|1.410437
Japanese Yen|JPY|2022-10-01|144.789000|0.006907
Kenyan Shilling|KES|2022-10-01|121.770000|0.008212
Kyrgyzstanian Som|KGS|2022-10-01|80.177100|0.012472
Kampuchean Riel|KHR|2022-10-01|4162.500000|0.000240
Comoros Franc|KMF|2022-10-01|502.048890|0.001992
North Korean Won|KPW|2022-10-01|135.000000|0.007407
Korean Won|KRW|2022-10-01|1441.230000|0.000694
Kuwaiti Dinar|KWD|2022-10-01|0.310710|3.218435
Cayman Islands Dollar|KYD|2022-10-01|0.833330|1.200005
Kazakhstan Tenge|KZT|2022-10-01|478.312910|0.002091
Lao Kip|LAK|2022-10-01|16551.200000|0.000060
Lebanese Pound|LBP|2022-10-01|1507.500000|0.000663
Sri Lanka Rupee|LKR|2022-10-01|368.554080|0.002713
Liberian Dollar|LRD|2022-10-01|154.850000|0.006458
Lesotho Loti|LSL|2022-10-01|18.103450|0.055238
Lithuanian Litas|LTL|2022-10-01|3.523550|0.283805
Luxembourg Franc|LUF|2022-10-01|41.166520|0.024292
Latvian Lats|LVL|2022-10-01|0.717210|1.394292
Libyan Dinar|LYD|2022-10-01|5.085000|0.196657
Moroccan Dirham|MAD|2022-10-01|10.979600|0.091078
Moldovan Leu|MDL|2022-10-01|19.653530|0.050881
Malagasy Ariary|MGA|2022-10-01|4233.500000|0.000236
Malagasy Franc|MGF|2022-10-01|9150.460000|0.000109
Macedonian Denar|MKD|2022-10-01|63.575850|0.015729
Myanmar Kyat|MMK|2022-10-01|2122.508370|0.000471
Mongolian Tugrik|MNT|2022-10-01|2627.000000|0.000381
Macau Pataca|MOP|2022-10-01|8.085640|0.123676
Mauritanian Ouguiya|MRO|2022-10-01|381.900000|0.002618
Maltese Lira|MTL|2022-10-01|0.438100|2.282584
Mauritius Rupee|MUR|2022-10-01|47.187380|0.021192
Maldive Rufiyaa|MVR|2022-10-01|15.505000|0.064495
Malawi Kwacha|MWK|2022-10-01|1033.550000|0.000968
Mexican Peso|MXN|2022-10-01|20.147690|0.049633
Mexican Peso (pre 1993)|MXP|2022-10-01|20.147690|0.049633
Malaysian Ringgit|MYR|2022-10-01|4.638500|0.215587
Mozambique Metical|MZM|2022-10-01|64460.000000|0.000016
Mozambique New Metical|MZN|2022-10-01|64.460000|0.015513
Namibia Dollar|NAD|2022-10-01|18.103450|0.055238
Nigerian Naira|NGN|2022-10-01|432.870000|0.002310
Nicaraguan Cordoba Oro|NIO|2022-10-01|36.110000|0.027693
Dutch Guilder|NLG|2022-10-01|2.248870|0.444668
Norwegian Kroner|NOK|2022-10-01|10.899620|0.091746
Nepalese Rupee|NPR|2022-10-01|132.151340|0.007567
New Zealand Dollar|NZD|2022-10-01|1.788360|0.559172
Omani Rial|OMR|2022-10-01|0.386440|2.587724
Panamanian Balboa|PAB|2022-10-01|1.000000|1.000000
Peruvian Nuevo Sol|PEN|2022-10-01|3.998000|0.250125
Papua New Guinea Kina|PGK|2022-10-01|3.611970|0.276857
Philippine Peso|PHP|2022-10-01|58.854500|0.016991
Pakistan Rupee|PKR|2022-10-01|228.375000|0.004379
Polish Zloty|PLN|2022-10-01|4.956640|0.201750
Portuguese Escudo|PTE|2022-10-01|204.590170|0.004888
Paraguay Guarani|PYG|2022-10-01|7168.320830|0.000140
