Currency|Code|Date|USD/1 Unit|Units/1 USD
Andorran Peseta|ADP|2023-05-01|151.366690|0.006606
Utd. Arab Emir. Dirham|AED|2023-05-01|3.672920|0.272263
Afghanistan Afghani|AFA|2023-05-01|87.093870|0.011482
Albanian Lek|ALL|2023-05-01|102.099940|0.009794
Armenian Dram|AMD|2023-05-01|414.869390|0.002410
NL Antillian Guilder|ANG|2023-05-01|1.790000|0.558659
Angolan Kwanza|AOA|2023-05-01|512.220080|0.001952
Angolan Old Kwanza|AON|2023-05-01|512.220080|0.001952
Argentine Peso|ARS|2023-05-01|221.840540|0.004508
Austrian Schilling|ATS|2023-05-01|12.518190|0.079884
Australian Dollar|AUD|2023-05-01|1.507460|0.663368
Aruban Florin|AWG|2023-05-01|1.810000|0.552486
Azerbaijan Old Manat|AZM|2023-05-01|8500.000000|0.000118
Azerbaijan New Manat|AZN|2023-05-01|1.700000|0.588235
Bosnian Mark|BAM|2023-05-01|1.779280|0.562025
Barbados Dollar|BBD|2023-05-01|2.000000|0.500000
Bangladeshi Taka|BDT|2023-05-01|107.182360|0.009330
Belgian Franc|BEF|2023-05-01|36.698500|0.027249
Bulgarian Old Lev|BGL|2023-05-01|1.779280|0.562025
Bulgarian Lev|BGN|2023-05-01|1.779280|0.562025
Bahraini Dinar|BHD|2023-05-01|0.381360|2.622194
Burundi Franc|BIF|2023-05-01|2100.357750|0.000476
Bermudian Dollar|BMD|2023-05-01|1.000000|1.000000
Brunei Dollar|BND|2023-05-01|1.335030|0.749047
Bolivian Boliviano|BOB|2023-05-01|7.078500|0.141273
Brazilian Real|BRL|2023-05-01|4.990550|0.200379
Bahamian Dollar|BSD|2023-05-01|1.000000|1.000000
Bitcoin|BTC|2023-05-01|0.000040|25000.000000
Bhutan Ngultrum|BTN|2023-05-01|81.773120|0.012229
Botswana Pula|BWP|2023-05-01|13.364440|0.074825
Belarusian Ruble|BYR|2023-05-01|25238.166930|0.000040
Belize Dollar|BZD|2023-05-01|2.057230|0.486091
Canadian Dollar|CAD|2023-05-01|1.355490|0.737741
Congolese Franc|CDF|2023-05-01|2136.618070|0.000468
Swiss Franc|CHF|2023-05-01|0.894770|1.117606
Chilean Peso|CLP|2023-05-01|807.451220|0.001238
Chinese Yuan Renminbi|CNY|2023-05-01|6.913200|0.144651
Colombian Peso|COP|2023-05-01|4702.142040|0.000213
Costa Rican Colon|CRC|2023-05-01|548.091400|0.001825
Cuban Convertible Peso|CUC|2023-05-01|1.000000|1.000000
Cuban Peso|CUP|2023-05-01|25.000000|0.040000
Cape Verde Escudo|CVE|2023-05-01|100.311620|0.009969
Cyprus Pound|CYP|2023-05-01|0.532440|1.878146
Czech Koruna|CZK|2023-05-01|21.453780|0.046612
Djibouti Franc|DJF|2023-05-01|177.710000|0.005627
Danish Krone|DKK|2023-05-01|6.781080|0.147469
Dominican Peso|DOP|2023-05-01|55.191550|0.018119
Algerian Dinar|DZD|2023-05-01|135.959200|0.007355
Ecuador Sucre|ECS|2023-05-01|25587.000000|0.000039
Estonian Kroon|EEK|2023-05-01|14.234210|0.070253
Egyptian Pound|EGP|2023-05-01|31.006640|0.032251
Spanish Peseta|ESP|2023-05-01|151.366690|0.006606
Ethiopian Birr|ETB|2023-05-01|54.282800|0.018422
Euro|EUR|2023-05-01|0.909730|1.099227
Finnish Markka|FIM|2023-05-01|5.409020|0.184876
Fiji Dollar|FJD|2023-05-01|2.235260|0.447375
Falkland Islands Pound|FKP|2023-05-01|0.798510|1.252332
French Franc|FRF|2023-05-01|5.967450|0.167576
United Kingdom Pound|GBP|2023-05-01|0.798510|1.252332
Georgian Lari|GEL|2023-05-01|2.522200|0.396479
Ghanaian Cedi|GHC|2023-05-01|118393.260100|0.000008
Ghanaian New Cedi|GHS|2023-05-01|11.839330|0.084464
Gibraltar Pound|GIP|2023-05-01|0.798510|1.252332
Gambian Dalasi|GMD|2023-05-01|60.192460|0.016613
Guinea Franc|GNF|2023-05-01|8673.525470|0.000115
Greek Drachma|GRD|2023-05-01|309.991230|0.003226
Guatemalan Quetzal|GTQ|2023-05-01|7.971600|0.125445
Guyanan Dollar|GYD|2023-05-01|220.175620|0.004542
Hong Kong Dollar|HKD|2023-05-01|7.850030|0.127388
Honduran Lempira|HNL|2023-05-01|24.941900|0.040093
Croatian Kuna|HRK|2023-05-01|6.854380|0.145892
Haitian Gourde|HTG|2023-05-01|154.616780|0.006468
Hungarian Forint|HUF|2023-05-01|339.084200|0.002949
Indonesian Rupiah|IDR|2023-05-01|14673.659630|0.000068
Irish Punt|IEP|2023-05-01|0.716470|1.395732
Israeli New Shekel|ILS|2023-05-01|3.632190|0.275316
Indian Rupee|INR|2023-05-01|81.773120|0.012229
Iraqi Dinar|IQD|2023-05-01|1370.369560|0.000730
Iranian Rial|IRR|2023-05-01|42506.127020|0.000024
Iceland Krona|ISK|2023-05-01|136.473330|0.007327
Italian Lira|ITL|2023-05-01|1761.487060|0.000568
Jamaican Dollar|JMD|2023-05-01|154.475440|0.006474
